cid,premise,hypothesis,label
54533,"Georges Albert Édouard Brutus Gilles de la Tourette ( 30 October 1857 -- 26 May 1904 ) was a French physician and the namesake of Tourette 's syndrome , a neurological condition characterized by physical and verbal tics . Tourette described the symptoms of Tourette 's syndrome in nine patients in 1884 , using the name `` maladie des tics '' . Around 1902 , Tourette 's condition worsened and he was dismissed from his post . Gilles de la Tourette died on 26 May 1904 in a psychiatric hospital in Lausanne , Switzerland .",Georges Gilles de la Tourette described symptoms in 1884.,ENTAILMENT
228324,"Island Records . It was founded by Chris Blackwell , Graeme Goodall and Leslie Kong in Jamaica in 1959 .",Jamaica is the place where Island Records was founded.,ENTAILMENT
79682,"Sidse Babett Knudsen ( [ ˈsisə b̥ab̥ɛd̥ ˈkʰnusn̩ ] ; born 22 November 1968 ) is a Danish actress who works in theatre , television , and film .",Sidse Babett Knudsen was born on a train.,NEUTRAL
14855,"Rupert Murdoch . Murdoch formed the British broadcaster BSkyB in 1990 , and during the 1990s expanded into Asian networks and South American television .","Rupert Murdoch is a broadcaster, forming BSkyB.",CONTRADICTION
25396,I Love You is a 2002 Chinese drama film directed by Zhang Yuan and starring Xu Jinglei and Tong Dawei .,P.S I Love You (film) is a American drama film.,ENTAILMENT
223684,"UNICEF UK , also known as the United Kingdom Committee for UNICEF , is one of 36 UNICEF National Committees based in industrialised countries .",UNICEF UK is a UNICEF National meeting.,NEUTRAL
139317,"Due Date . The film was shot in Las Cruces , New Mexico , Atlanta , Georgia , and Tuscaloosa , Alabama .",Due Date was shot in space.,CONTRADICTION
67244,"Duke of York . The current Duke of York is Prince Andrew , the second son of Queen Elizabeth II .",The current Duke of York is a person.,ENTAILMENT
1597,"The Bloods are a primarily , though not exclusively , African American street gang founded in Los Angeles , California .",The Bloods was founded in California.,ENTAILMENT
7330,"Michael Kelland John Hutchence ( 22 January 1960 -- 22 November 1997 ) was an Australian musician and actor . On the morning of 22 November 1997 , Hutchence was found dead in his hotel room in Sydney .",Sydney is where Michael Hutchence died.,ENTAILMENT
